Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Mode__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,hed__Capacity__c,hed__Course__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,hed__Term__c,IsActive__c,LMS_Creation_Date__c,LMS_Integration_Status__c,LMS_Quality__c,Migration_Id__c,Minimum_Participants__c,Name,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,5,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-11-27,a0FAD000001RWRW2A4,,,2022-10-17,a0PAD000004zxAz2AI,false,,Success,,,1,EXOS0021-20221017-1,,,,a09AD000004DVq5YAG,,,2022-10-12,2022-07-10,9,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-06-19,a0FAD000001RIgT2AW,,,2022-05-23,a0PAD000004zxB02AI,false,,Success,,,1,EXOS0024-20220523-1,,,,a09AD000004DVq5YAG,,,2022-05-20,2022-05-01,4,,false
,,1,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-28,a0FAD000001RIgU2AW,,,2022-08-01,a0PAD000004zxB12AI,false,,Success,,,1,EXOS0024-20220801-1,,,,a09AD000004DVq5YAG,,,2022-07-24,2022-05-17,0,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-06-19,a0FAD000001RIgV2AW,,,2022-05-23,a0PAD000004zxB22AI,false,,,,,1,EXOS0025-20220523-1,,,,a09AD000004DVq5YAG,,,2022-05-16,2022-05-01,2,,false
,,5,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,30,,2022-08-01,a0FAD000001RIgW2AW,,,2022-07-25,a0PAD000004zxB32AI,false,,Success,,,10,EXOS0026-20220621-1,,,,a09AD000004DVq5YAG,,,2022-07-22,2022-05-01,10,,false
,,1,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-07,a0FAD000001RIgX2AW,,,2022-07-11,a0PAD000004zxB42AI,false,,Success,,,1,EXOS0027-20220711-1,,,,a09AD000004DVq5YAG,,,2022-07-08,2022-05-01,0,,false
,,4,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-10-20,a0FAD000001RWUl2AO,,,2022-10-20,a0PAD000004zxB52AI,false,,,,,10,EXOS0030-20220929-1,,,,a09AD000004DVq5YAG,,,2022-10-18,2022-05-01,10,,false
,,1,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-04,a0FAD000001RWUm2AO,,,2022-07-21,a0PAD000004zxB62AI,false,,,,,8,EXOS0032-20220721-1,,,,a09AD000004DVq5YAG,,,2022-07-19,2022-05-01,21,,false
,,0,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-09-07,a0FAD000001RWRY2A4,,,2022-09-07,a0PAD000004zxB72AI,false,,,,,8,EXOS0033-20220907-1,,,,a09AD000004DVq5YAG,,,2022-09-05,2022-05-01,8,,false
,,0,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-08-31,a0FAD000001RIgb2AG,,,2022-08-23,a0PAD0000050Kog2AE,false,,,,,10,EXOS0034-20220823-1,,,,a09AD000004DVq5YAG,,,2022-08-15,2022-05-01,0,,false
,,2,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-10-26,a0FAD000001RIgc2AG,,,2022-10-18,a0PAD0000050Koh2AE,false,,,,,10,EXOS0034-20221018-1,,,,a09AD000004DVq5YAG,,,2022-10-13,2022-05-01,4,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-06-17,a0FAD000001RWUn2AO,,,2022-06-14,a0PAD0000050Koi2AE,false,,,,,10,EXOS0035-20220614-1,,,,a09AD000004DVq5YAG,,,2022-06-07,2022-05-01,6,,false
,,7,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-11-04,a0FAD000001RWUo2AO,,,2022-11-01,a0PAD0000050Koj2AE,false,,,,,10,EXOS0035-20221101-1,,,,a09AD000004DVq5YAG,,,2022-10-26,2022-05-01,10,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-05-26,a0FAD000001RWUp2AO,,,2022-05-26,a0PAD0000050Kok2AE,false,,,,,8,EXOS0036-20220526-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,12,,false
,,6,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-11-23,a0FAD000001RWRb2AO,,,2022-11-22,a0PAD0000050Kol2AE,false,,,,,8,EXOS0036-20221122-1,,,,a09AD000004DVq5YAG,,,2022-11-20,2022-05-01,12,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-01,a0FAD000001RIgh2AG,,,2022-06-01,a0PAD0000050Kom2AE,false,,,,,8,EXOS0037-20220601-1,,,,a09AD000004DVq5YAG,,,2022-05-30,2022-05-01,6,,false
,,3,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-11-30,a0FAD000001RIgi2AG,,,2022-11-30,a0PAD000004zxB82AI,false,,,,,8,EXOS0037-20221130-1,,,,a09AD000004DVq5YAG,,,2022-11-28,2022-06-01,22,,false
,,3,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-11-27,a0FAD000001RIgj2AG,,,2022-10-17,a0PAD0000050Kon2AE,false,,Success,,,1,EXOS0038-20221017-1,,,,a09AD000004DVq5YAG,,,2022-10-12,2022-05-03,12,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-15,a0FAD000001RWUq2AO,,,2022-06-06,a0PAD0000050Koo2AE,false,,,,,2,EXOS0039-20220606-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-16,a0FAD000001RWUr2AO,,,2022-06-07,a0PAD0000050Kop2AE,false,,,,,2,EXOS0039-20220607-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-18,a0FAD000001RWUs2AO,,,2022-06-09,a0PAD0000050Koq2AE,false,,,,,2,EXOS0040-20220609-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
