Amount__c,Attempt_No__c,Cart_ID__c,Cart_Item__c,Class_Registration_Start_Date__c,Course__c,Enrollment_Stage__c,Enrollment_Status__c,Enrollment_Status_Date__c,Errors,External_Key__c,hed__Contact__c,hed__Credentialing_Identifier__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Display_Grade__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Verification_Status__c,hed__Verification_Status_Date__c,Id,Is_Group_Registered__c,IsActive__c,LMS_Integration_Status__c,Marks__c,Migration_Id__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,RecordTypeId,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c,Transaction_ID__c
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs1YAG,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs2YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs3YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs4YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs5YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs6YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs7YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs8YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs9YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsAYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsBYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsCYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsDYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsEYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsFYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsGYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsHYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsIYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsJYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsKYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsLYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsMYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsNYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsOYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsPYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
